index,title,description,figure,references,definition,keywords,prediction,object
11.4.2.4,representations of uncertainty,"quantitative risk analysis requires inputs to a quantitative risk analysis model that reflect individual project risks and other sources of uncertainty. where the duration, cost, or resource requirement for a planned activity is uncertain, the range of possible values can be represented in the model as a probability distribution. this may take several forms. the most commonly used are triangular, normal, lognormal, beta, uniform, or discrete distributions. care should be taken when selecting an appropriate probability distribution to reflect the range of possible values for the planned activity. individual project risks may be covered by probability distributions. alternatively, risks may be included in the model as probabilistic branches, where optional activities are added to the model to represent the time and/or cost impact of the risk should it occur, and the chance that these activities actually occur in a particular simulation run matches the risk probability. branches are most useful for risks that might occur independently of any planned activity. where risks are related, for example, with a common cause or a logical dependency, correlation is used in the model to indicate this relationship. other sources of uncertainty may also be represented using branches to describe alternative paths through the project.or reproduction.",[],[],"

Definition of 'representations of uncertainty': Probability distributions, probabilistic branches, and correlation used in a quantitative risk analysis model to reflect individual project risks and other sources of uncertainty.","['inputs to a quantitative', 'quantitative risk analysis requires', 'risk analysis requires inputs', 'quantitative risk analysis model', 'quantitative risk analysis', 'analysis requires inputs', 'risk analysis requires', 'risk analysis model', 'analysis requires', 'quantitative risk']",,
11.4.2.5,data analysis,"data analysis techniques that can be used during this process include but are not limited to:  simulation. quantitative risk analysis uses a model that simulates the combined effects of individual project risks and other sources of uncertainty to evaluate their potential impact on achieving project objectives. simulations are typically performed using a monte carlo analysis. when running a monte carlo analysis for cost risk, the simulation uses the project cost estimates. when running a monte carlo analysis for schedule risk, the schedule network diagram and duration estimates are used. an integrated quantitative cost-schedule risk analysis uses both inputs. the output is a quantitative risk analysis model. computer software is used to iterate the quantitative risk analysis model several thousand times. the input values (e.g., cost estimates, duration estimates, or occurrence of probabilistic branches) are chosen at random for each iteration. outputs represent the range of possible outcomes for the project (e.g., project end date, project cost at completion). typical outputs include a histogram presenting the number of iterations where a particular outcome resulted from the simulation, or a cumulative probability distribution (s-curve) representing the probability of achieving any particular outcome or less. an example s-curve from a monte carlo cost risk analysis is shown in .noreproduction. for a quantitative schedule risk analysis, it is also possible to conduct a criticality analysis that determines which elements of the risk model have the greatest effect on the project critical path. a criticality index is calculated for each element in the risk model, which gives the frequency with which that element appears on the critical path during the simulation, usually expressed as a percentage. the output from a criticality analysis allows the project team to focus risk response planning efforts on those activities with the highest potential effect on the overall schedule performance of the project.  sensitivity analysis. sensitivity analysis helps to determine which individual project risks or other sources of uncertainty have the most potential impact on project outcomes. it correlates variations in project outcomes with variations in elements of the quantitative risk analysis model. one typical display of sensitivity analysis is the tornado diagram, which presents the calculated correlation coefficient for each element of the quantitative risk analysis model that can influence the project outcome. this can include individual project risks, project activities with high degrees of variability, or specific sources of ambiguity. items are ordered by descending strength of correlation, giving the typical tornado appearance. an example tornado diagram is shown in .nouction.  decision tree analysis. decision trees are used to support selection of the best of several alternative courses of action. alternative paths through the project are shown in the decision tree using branches representing different decisions or events, each of which can have associated costs and related individual project risks (including both threats and opportunities). the end-points of branches in the decision tree represent the outcome from following that particular path, which can be negative or positive. the decision tree is evaluated by calculating the expected monetary value of each branch, allowing the optimal path to be selected. an example decision tree is shown in .not fonot for distribution, sale or reproduction.  influence diagrams. influence diagrams are graphical aids to decision making under uncertainty. an influence diagram represents a project or situation within the project as a set of entities, outcomes, and influences, together with the relationships and effects between them. where an element in the influence diagram is uncertain as a result of the existence of individual project risks or other sources of uncertainty, this can be represented in the influence diagram using ranges or probability distributions. the influence diagram is then evaluated using a simulation technique, such as monte carlo analysis, to indicate which elements have the greatest influence on key outcomes. outputs from an influence diagram are similar to other quantitative risk analysis methods, including s-curves and tornado diagrams.","['https://i.ibb.co/Ms825Md/figure-11-13.png', 'https://i.ibb.co/gwqZGs6/figure-11-14.png', 'https://i.ibb.co/CzryBVw/figure-11-15.png']","['figure 11-13', 'figure 11-14', 'figure 11-15']","

Data analysis is the process of using techniques such as simulation, quantitative risk analysis, sensitivity analysis, decision tree analysis, and influence diagrams to evaluate the potential impact of individual project risks and other sources of uncertainty on achieving project objectives.","['quantitative risk analysis', 'quantitative risk analysis model', 'risk analysis', 'analysis', 'risk analysis model', 'project', 'individual project risks', 'monte carlo analysis', 'risk', 'project risks']",,
11.4.3,perform quantitative risk analysis: outputs,,[],[],"
Perform quantitative risk analysis outputs include risk severity rankings; graphical or tabular displays of risks, their associated likelihood of occurrence, and their respective impacts; and risk priority number or risk score calculations.",[],,
11.4.3.1,project documents updates,"project documents that can be considered as outputs for this process include but are not limited to the risk report   the risk report will be updated to reflect the results of the quantitative risk analysis. this will typically include:  assessment of overall project risk exposure. overall project risk is reflected in two key measures:  chances of project success, indicated by the probability that the project will achieve its key objectives (e.g., required end date or interim milestones, required cost target, etc.) given the identified individual project risks and other sources of uncertainty; and  degree of inherent variability remaining within the project at the time the analysis was conducted, indicated by the range of possible project outcomes.  detailed probabilistic analysis of the project. key outputs from the quantitative risk analysis are presented, such as s-curves, tornado diagrams, and criticality analysis, together with a narrative interpretation of the results. possible detailed results of a quantitative risk analysis may include:  amount of contingency reserve needed to provide a specified level of confidence;  identification of individual project risks or other sources of uncertainty that have the greatest effect on the project critical path; and  major drivers of overall project risk, with the greatest influence on uncertainty in project outcomes.  prioritized list of individual project risks. this list includes those individual project risks that pose the greatest threat or present the greatest opportunity to the project, as indicated by sensitivity analysis.  trends in quantitative risk analysis results. as the analysis is repeated at different times during the project life cycle, trends may become apparent that inform the planning of risk responses.  recommended risk responses. the risk report may present suggested responses to the level of overall project risk exposure or key individual project risks, based on the results of the quantitative risk analysis. these recommendations will form inputs to the plan risk responses process.ction.",[],['section 11.2.3.2.'],"

Project documents updates refer to any changes to the risk report to reflect the results of a quantitative risk analysis; this includes assessment of overall project risk exposure, detailed probabilistic analysis of the project, prioritized list of individual project risks, trends in quantitative risk analysis results, and recommended risk responses.","['individual project risks', 'quantitative risk analysis', 'project', 'project risks', 'risk', 'risk analysis', 'quantitative risk', 'individual project', 'key individual project risks', 'quantitative risk analysis results']",,
11.5,plan risk responses,"plan risk responses is the process of developing options, selecting strategies, and agreeing on actions to address overall project risk exposure, as well as to treat individual project risks. the key benefit of this process is that it identifies appropriate ways to address overall project risk and individual project risks. this process also allocates resources and inserts activities into project documents and the project management plan as needed. this process is performed throughout the project. the inputs, tools and techniques, and outputs of the process  in .  depicts the data flow diagram for the process.not for distributnot for distribution, snot for distribution, sale or reproduction. effective and appropriate risk responses can minimize individual threats, maximize individual opportunities, and reduce overall project risk exposure. unsuitable risk responses can have the converse effect. once risks have been identified, analyzed, and prioritized, plans should be developed by the nominated risk owner for addressing every individual project risk the project team considers to be sufficiently important, either because of the threat it poses to the project objectives or the opportunity it offers. the project manager should also consider how to respond appropriately to the current level of overall project risk. risk responses should be appropriate for the significance of the risk, cost-effective in meeting the challenge, realistic within the project context, agreed upon by all parties involved, and owned by a responsible person. selecting the optimal risk response from several options is often required. the strategy or mix of strategies most likely to be effective should be selected for each risk. structured decision-making techniques may be used to choose the most appropriate response. for large or complex projects, it may be appropriate to use a mathematical optimization model or real options analysis as a basis for a more robust economic analysis of alternative risk response strategies. specific actions are developed to implement the agreed-upon risk response strategy, including primary and backup strategies, as necessary. a contingency plan (or fallback plan) can be developed for implementation if the selected strategy turns out not to be fully effective or if an accepted risk occurs. secondary risks should also be identified. secondary risks are risks that arise as a direct result of implementing a risk response. a contingency reserve is often allocated for time or cost. if developed, it may include identification of the conditions that trigger its use.","['https://i.ibb.co/Pg1DvsZ/figure-11-16.png', 'https://i.ibb.co/2sPLsv4/figure-11-17.png']","['figure 11-16', 'figure 11-17']","

Plan risk responses is the process of developing options, selecting strategies, and agreeing on actions to address overall project risk exposure, as well as to treat individual project risks.","['project', 'treat individual project risks', 'risk', 'project risk', 'individual project risks', 'project risk exposure', 'treat individual project', 'individual project', 'risk responses', 'address overall project risk']",part of,risk management plan
11.5.1,plan risk responses: inputs,,[],[],"
Plan risk responses: inputs include baseline data, contingency plans, costs/budget, risk thresholds, risk acceptance criteria, identified risks, and impact analysis results.",[],,
11.5.1.1,project management plan,"  project management plan components include but are not limited to:  resource management plan.   the resource management plan is used to help determine how resources allocated to agreed-upon risk responses will be coordinated with other project resources.  risk management plan.   risk management roles and responsibilities and risk thresholds are used in this process.  cost baseline.   the cost baseline has information on the contingency fund that is allocated to respond to risks.not for distribution, sale or reproduction.",[],"['section 4.2.3.1.', 'section 9.1.3.1.', 'section 11.1.3.1.', 'section 7.3.3.1.']","

Project Management Plan: A comprehensive document used to define how a project is planned, executed, tracked, monitored, and closed; it outlines the resources, timeline, budget, and other components needed to successfully complete a project.","['management plan components include', 'project management plan components', 'plan components include', 'resource management plan', 'management plan', 'management plan components', 'components include', 'project management plan', 'management', 'resource management']",,
11.5.1.2,project documents,"project documents that can be considered as inputs for this process include but are not limited to:  lessons learned register.   lessons learned about effective risk responses used in earlier phases of the project are reviewed to determine if similar responses might be useful during the remainder of the project.  project schedule.   the schedule is used to determine how agreed-upon risk responses will be scheduled alongside other project activities.  project team assignments.   project team assignments can show the resources that can be allocated to agreed-upon risk responses.  resource calendars.   resource calendars identify when potential resources are available to be allocated to agreed-upon risk responses.  risk register.   the risk register contains details of individual project risks that have been identified and prioritized, and for which risk responses are required. the priority level for each risk can help to guide the selection of appropriate risk responses. for example, high-priority threats or opportunities may require priority action and highly proactive response strategies. threats and opportunities in the low-priority zone may not require proactive management action beyond being placed in the risk register as part of the watch list or adding a contingency reserve. the risk register identifies the nominated risk owner for each risk. it may also contain preliminary risk responses identified earlier in the project risk management process. the risk register may provide other data on identified risks that can assist in planning risk responses, including root causes, risk triggers and warning signs, risks requiring responses in the near term, and risks where a need for additional analysis has been identified.  risk report.   the risk report presents the current level of overall risk exposure of the project that will inform selection of the risk response strategy. the risk report may also list individual project risks in priority order and provide additional analysis of the distribution of individual project risks that may inform risk response selection.  stakeholder register.   the stakeholder register identifies potential owners for risk responses.not for distribution, sale or reproduction.",[],"['section 4.4.3.1.', 'section 6.5.3.2.', 'section 9.3.3.2.', 'section 9.2.1.2.', 'section 11.2.3.1.', 'section 11.2.3.2.', 'section 13.1.3.1.']","

Project documents are inputs for the process which can include, but are not limited to: Lessons Learned Register, Project Schedule, Project Team Assignments, Resource Calendars, Risk Register, Risk Report and Stakeholder Register.","['risk', 'risk responses', 'project', 'responses', 'risk register', 'project risks', 'individual project risks', 'register', 'agreed-upon risk responses', 'risks']",,
11.5.1.3,enterprise environmental factors,the enterprise environmental factors that can influence the plan risk responses process include but are not limited to the risk appetite and thresholds of key stakeholders.,[],[],"

Enterprise environmental factors: The risk appetite and thresholds of key stakeholders.","['plan risk responses process', 'risk responses process include', 'thresholds of key stakeholders', 'enterprise environmental factors', 'responses process include', 'influence the plan risk', 'plan risk responses', 'risk responses process', 'risk appetite and thresholds', 'key stakeholders']",,
11.5.1.4,organizational process assets,"the organizational process assets that can influence the plan risk responses process include but are not limited to:  templates for the risk management plan, risk register, and risk report;  historical databases; and  lessons learned repositories from similar projects.",[],[],"

Organizational process assets are resources or information that a project organization can use to help plan, manage, and execute a project. They include but are not limited to templates for the risk management plan, risk register, and risk report; historical databases; and lessons learned repositories from similar projects.","['templates for the risk', 'risk responses process include', 'plan risk responses process', 'repositories from similar projects', 'lessons learned repositories', 'learned repositories from similar', 'organizational process assets', 'responses process include', 'risk responses process', 'risk management plan']",,
11.5.2,plan risk responses: tools and techniques,,[],[],"
Plan risk responses: tools and techniques are methods used to reduce the probability of a risk occurring or the impact that a risk may have if it did occur. This includes methods such as avoidance, mitigation, transferring, and acceptance.",[],,
11.5.2.1,expert judgment,"  expertise should be considered from individuals or groups with specialized knowledge in the following topics:  threat response strategies,  opportunity response strategies,  contingent response strategies, and  overall project risk response strategies. expert input may be sought from individuals with particular subject matter expertise relevant to a specific individual project risk, for example, where specialist technical knowledge is required.not for distribution, sale or reproduction.",[],['section 4.1.2.1.'],"

Expert judgment is the input from individuals or groups with specialized knowledge in the given topics to provide insight and guidance in a specific individual project risk.","['project risk response strategies', 'threat response strategies', 'opportunity response strategies', 'contingent response strategies', 'risk response strategies', 'response strategies', 'specific individual project risk', 'project risk response', 'groups with specialized knowledge', 'individual project risk']",,
11.5.2.2,data gathering,data-gathering techniques that can be used for this process include but are not limited to interviews (). development of responses to individual project risks and overall project risk may be undertaken during structured or semi-structured interviews () with risk owners. other stakeholders may also be interviewed if necessary. the interviewer should promote an environment of trust and confidentiality in the interview setting to encourage honest and unbiased decisions.,[],"['section 5.2.2.2', 'section 5.2.2.2']","

Data gathering is the process of collecting information from different sources in order to gain insight into a specific subject or phenomenon.","['data-gathering techniques', 'process include', 'data-gathering', 'techniques', 'process', 'include', 'limited', 'project', 'risk', 'interviews']",,
11.5.2.3,interpersonal and team skills,"interpersonal and team skills that can be used for this process includes but are not limited to facilitation (). the use of facilitation improves the effectiveness of developing responses to individual project risks and overall project risk. a skilled facilitator can help risk owners understand the risk, identify and compare alternative possible risk response strategies, choose an appropriate response strategy, and identify and overcome sources of bias.",[],['section 4.1.2.3'],"

Interpersonal and team skills are abilities that can be used to facilitate the process of developing responses to individual and overall project risks. These skills may include but are not limited to facilitation, which can improve the effectiveness of risk response strategies by helping risk owners understand the risk, compare alternative strategies, choose an appropriate response, and identify and overcome sources of bias.","['interpersonal and team skills', 'interpersonal and team', 'team skills', 'process includes', 'facilitation improves the effectiveness', 'risk', 'limited to facilitation', 'interpersonal', 'facilitation', 'facilitation improves']",,
11.5.2.4,strategies for threats,"five alternative strategies may be considered for dealing with threats, as follows:  escalate. escalation is appropriate when the project team or the project sponsor agrees that a threat is outside the scope of the project or that the proposed response would exceed the project manager authority. escalated risks are managed at the program level, portfolio level, or other relevant part of the organization, and not on the project level. the project manager determines who should be notified about the threat and communicates the details to that person or part of the organization. it is important that ownership of escalated threats is accepted by the relevant party in the organization. threats are usually escalated to the level that matches the objectives that would be affected if the threat occurred. escalated threats are not monitored further by the project team after escalation, although they may be recorded in the risk register for information.not for distribution, sale or reproduction.  avoid. risk avoidance is when the project team acts to eliminate the threat or protect the project from its impact. it may be appropriate for high-priority threats with a high probability of occurrence and a large negative impact. avoidance may involve changing some aspect of the project management plan or changing the objective that is in jeopardy in order to eliminate the threat entirely, reducing its probability of occurrence to zero. the risk owner may also take action to isolate the project objectives from the risk impact if it were to occur. examples of avoidance actions may include removing the cause of a threat, extending the schedule, changing the project strategy, or reducing scope. some risks can be avoided by clarifying requirements, obtaining information, improving communication, or acquiring expertise.  transfer. transfer involves shifting ownership of a threat to a third party to manage the risk and to bear the impact if the threat occurs. risk transfer often involves payment of a risk premium to the party taking on the threat. transfer can be achieved by a range of actions, which include but are not limited to the use of insurance, performance bonds, warranties, guarantees, etc. agreements may be used to transfer ownership and liability for specified risks to another party.  mitigate. in risk mitigation, action is taken to reduce the probability of occurrence and/or impact of a threat. early mitigation action is often more effective than trying to repair the damage after the threat has occurred. adopting less complex processes, conducting more tests, or choosing a more stable seller are examples of mitigation actions. mitigation may involve prototype development () to reduce the risk of scaling up from a bench-scale model of a process or product. where it is not possible to reduce probability, a mitigation response might reduce the impact by targeting factors that drive the severity. for example, designing redundancy into a system may reduce the impact from a failure of the original component.  accept. risk acceptance acknowledges the existence of a threat, but no proactive action is taken. this strategy may be appropriate for low-priority threats, and it may also be adopted where it is not possible or cost-effective to address a threat in any other way. acceptance can be either active or passive. the most common active acceptance strategy is to establish a contingency reserve, including amounts of time, money, or resources to handle the threat if it occurs. passive acceptance involves no proactive action apart from periodic review of the threat to ensure that it does not change significantly.not for distribution, sale or reproduction.",[],['section 5.2.2.8'],"

Strategies for threats are five alternative strategies for dealing with threats, which may include escalation, avoidance, transferring, mitigating or accepting.","['threat', 'project', 'risk', 'threats', 'project team', 'impact', 'escalated threats', 'project manager', 'alternative strategies', 'considered for dealing']",,
11.5.2.5,strategies for opportunities,"five alternative strategies may be considered for dealing with opportunities, as follows:  escalate. this risk response strategy is appropriate when the project team or the project sponsor agrees that an opportunity is outside the scope of the project or that the proposed response would exceed the project manager authority. escalated opportunities are managed at the program level, portfolio level, or other relevant part of the organization, and not on the project level. the project manager determines who should be notified about the opportunity and communicates the details to that person or part of the organization. it is important that ownership of escalated opportunities is accepted by the relevant party in the organization. opportunities are usually escalated to the level that matches the objectives that would be affected if the opportunity occurred. escalated opportunities are not monitored further by the project team after escalation, although they may be recorded in the risk register for information.  exploit. the exploit strategy may be selected for high-priority opportunities where the organization wants to ensure that the opportunity is realized. this strategy seeks to capture the benefit associated with a particular opportunity by ensuring that it definitely happens, increasing the probability of occurrence to 100%. examples of exploiting responses may include assigning an organization most talented resources to the project to reduce the time to completion, or using new technologies or technology upgrades to reduce cost and duration.  share. sharing involves transferring ownership of an opportunity to a third party so that it shares some of the benefit if the opportunity occurs. it is important to select the new owner of a shared opportunity carefully so they are best able to capture the opportunity for the benefit of the project. risk sharing often involves payment of a risk premium to the party taking on the opportunity. examples of sharing actions include forming risk-sharing partnerships, teams, special-purpose companies, or joint ventures.  enhance. the enhance strategy is used to increase the probability and/or impact of an opportunity. early enhancement action is often more effective than trying to improve the benefit after the opportunity has occurred. the probability of occurrence of an opportunity may be increased by focusing attention on its causes. where it is not possible to increase probability, an enhancement response might increase the impact by targeting factors that drive the size of the potential benefit. examples of enhancing opportunities include adding more resources to an activity to finish early.  accept. accepting an opportunity acknowledges its existence but no proactive action is taken. this strategy may be appropriate for low-priority opportunities, and it may also be adopted where it is not possible or cost-effective to address an opportunity in any other way. acceptance can be either active or passive. the most common active acceptance strategy is to establish a contingency reserve, including amounts of time, money, or resources to take advantage of the opportunity if it occurs. passive acceptance involves no proactive action apart from periodic review of the opportunity to ensure that it does not change significantly.not for distribution, sale or reproduction.",[],[],"

Strategies for opportunities are alternative strategies for dealing with opportunities to maximize benefit. These strategies may include escalating, exploiting, sharing, enhancing, or accepting.","['opportunity', 'project', 'opportunities', 'escalated opportunities', 'alternative strategies', 'considered for dealing', 'project manager', 'strategy', 'organization', 'project team']",,
11.5.2.6,contingent response strategies,"some responses are designed for use only if certain events occur. for some risks, it is appropriate for the project team to make a response plan that will only be executed under certain predefined conditions, if it is believed that there will be sufficient warning to implement the plan. events that trigger the contingency response, such as missing intermediate milestones or gaining higher priority with a seller, should be defined and tracked. risk responses identified using this technique are often called contingency plans or fallback plans and include identified triggering events that set the plans in effect.",[],[],"

Contingent response strategies are responses that are designed to be used only when certain events occur, with predefined conditions and triggering events that set the plan in effect.","['events occur', 'events', 'occur', 'plans', 'project team to make', 'sufficient warning to implement', 'designed', 'predefined conditions', 'responses', 'response']",,
11.5.2.7,strategies for overall project risk,"risk responses should be planned and implemented not only for individual project risks but also to address overall project risk. the same risk response strategies that are used to deal with individual project risks can also be applied to overall project risk:  avoid. where the level of overall project risk is significantly negative and outside the agreed-upon risk thresholds for the project, an avoid strategy may be adopted. this involves taking focused action to reduce the negative effect of uncertainty on the project as a whole and bring the project back within the thresholds. an example of avoidance at the overall project level would include removal of high-risk elements of scope from the project. where it is not possible to bring the project back within the thresholds, the project may be canceled. this represents the most extreme degree of risk avoidance and it should be used only if the overall level of threat is, and will remain, unacceptable.  exploit. where the level of overall project risk is significantly positive and outside the agreed-upon risk thresholds for the project, an exploit strategy may be adopted. this involves taking focused action to capture the positive effect of uncertainty on the project as a whole. an example of exploiting at the overall project level would include addition of high-benefit elements of scope to the project to add value or benefits to stakeholders. alternatively the risk thresholds for the project may be modified with the agreement of key stakeholders in order to embrace the opportunity.  transfer/share. if the level of overall project risk is high but the organization is unable to address it effectively, a third party may be involved to manage the risk on behalf of the organization. where overall project risk is negative, a transfer strategy is required, which may involve payment of a risk premium. in the case of high positive overall project risk, ownership may be shared in order to reap the associated benefits. examples of both transfer and share strategies for overall project risk include but are not limited to setting up a collaborative business structure in which the buyer and the seller share the overall project risk, launching a joint venture or special-purpose company, or subcontracting key elements of the project.not for distribution, sale or reproduction.  mitigate/enhance. these strategies involve changing the level of overall project risk to optimize the chances of achieving the project objectives. the mitigation strategy is used where overall project risk is negative, and enhancement applies when it is positive. examples of mitigation or enhancement strategies include replanning the project, changing the scope and boundaries of the project, modifying project priority, changing resource allocations, adjusting delivery times, etc.  accept. where no proactive risk response strategy is possible to address overall project risk, the organization may choose to continue with the project as currently defined, even if overall project risk is outside the agreed- upon thresholds. acceptance can be either active or passive. the most common active acceptance strategy is to establish an overall contingency reserve for the project, including amounts of time, money, or resources to be used if the project exceeds its thresholds. passive acceptance involves no proactive action apart from periodic review of the level of overall project risk to ensure that it does not change significantly.",[],[],"

Strategies for overall project risk involve using the same risk response strategies as for individual project risks: avoid, exploit, transfer/share, mitigate/enhance, and accept.","['project risk', 'project', 'risk', 'individual project risks', 'individual project', 'project level', 'risk thresholds', 'level', 'project risk include', 'address overall project risk']",,
11.5.2.8,data analysis,"a number of alternative risk response strategies may be considered. data analysis techniques that can be used to select a preferred risk response strategy include but are not limited to:  alternatives analysis. a simple comparison of the characteristics and requirements of alternative risk response options can lead to a decision on which response is most appropriate.  cost-benefit analysis. if the impact of an individual project risk can be quantified in monetary terms, then the cost-effectiveness of alternative risk response strategies can be determined using cost-benefit analysis (). the ratio of (change in impact level) divided by (implementation cost) gives the cost effectiveness of the response strategy, with a higher ratio indicating a more effective response.",[],['section 8.1.2.3'],"

Data Analysis is the use of techniques such as Alternatives Analysis, Cost-Benefit Analysis, and other methods to select the most appropriate risk response strategy.","['alternative risk response', 'alternative risk response strategies', 'risk response', 'alternative risk', 'number of alternative risk', 'risk response strategies', 'response', 'alternative risk response options', 'risk', 'preferred risk response strategy']",,
11.5.2.9,decision making,"decision-making techniques that can be used to select a risk response strategy include but are not limited to multicriteria decision analysis ( ). one or more risk response strategies may be under consideration. decision-making techniques can help prioritize risk response strategies. multicriteria decision analysis uses a decision matrix to provide a systematic approach for establishing key decision criteria, evaluating and ranking alternatives, and selecting a preferred option. criteria for risk response selection may include but are not limited to cost of response, likely effectiveness of response in changing probability and/or impact, resource availability, timing constraints (urgency, proximity, and dormancy), level of impact if the risk occurs, effect of response on related risks, introduction of secondary risks, etc. different strategies may be selected later in the project if the original choice proves to be ineffective.not for distribution, sale or reproduction.",[],['section 8.1.2.4'],"

Decision making is the process of making choices between alternative courses of action. It involves the evaluation of the options, assessing the potential risks and rewards, and making the most suitable decision.","['risk response strategy include', 'risk response', 'risk response strategy', 'risk response strategies', 'response', 'response strategy include', 'decision-making techniques', 'multicriteria decision analysis', 'response strategies', 'risk']",,
11.5.3,plan risk responses: outputs,,[],[],"""Plan Risk Responses: Outputs - Responses to identified risks that have been developed to manage the risk in an effort to reach the project objectives.""",[],,
11.5.3.1,change requests,  planned risk responses may result in a change request to the cost and schedule baselines or other components of the project management plan. change requests are processed for review and disposition through the perform integrated change control process ().,[],"['section 4.3.3.4.', 'section 4.6']","

Change requests are requests to modify the planned components of the project management plan. These modifications may involve changes to the cost and schedule baselines, risk responses, or other components.","['planned risk responses', 'project management plan', 'risk responses may result', 'cost and schedule baselines', 'planned risk', 'management plan', 'risk responses', 'responses may result', 'cost and schedule', 'schedule baselines']",,
11.5.3.2,project management plan updates,"any change to the project management plan goes through the organization change control process via a change request. components that may require a change request for the project management plan include but are not limited to:  schedule management plan.   changes to the schedule management plan, such as changes to resource loading and leveling, or updates to the schedule strategy, are incorporated.  cost management plan.   changes to the cost management plan, such as changes to cost accounting, tracking, and reports, as well as updates to the budget strategy and how contingency reserves are consumed, are incorporated.  quality management plan.   changes to the quality management plan, such as changes to approaches for meeting requirements, quality management approaches, or quality control processes, are incorporated.  resource management plan.   changes to the resource management plan, such as changes to resource allocation, as well as updates to the resource strategy, are incorporated.  procurement management plan.   changes to the procurement management plan, such as alterations in the make-or-buy decision or contract type(s), are incorporated.  scope baseline.   changes in the scope baseline are incorporated in response to approved changes in scope that may arise from agreed-upon risk responses.  schedule baseline.   changes in the schedule baseline are incorporated in response to approved changes in schedule estimates that may arise from agreed-upon risk responses.  cost baseline.   changes in the cost baseline are incorporated in response to approved changes in cost estimates that may arise from agreed-upon risk responses.not for distribution, sale or reproduction.",[],"['section 6.1.3.1.', 'section 7.1.3.1.', 'section 8.1.3.1.', 'section 9.1.3.1.', 'section 12.1.3.1.', 'section 5.4.3.1.', 'section 6.5.3.1.', 'section 7.3.3.1.']","

Project management plan updates refer to changes to the project management plan that are incorporated in response to approved changes to scope, schedule, and/or cost estimates that may arise from agreed-upon risk responses.","['management plan', 'changes', 'management', 'plan', 'project management plan', 'incorporated', 'project management', 'schedule management plan', 'cost management plan', 'resource management plan']",facet of,project management plan
11.5.3.3,project documents updates,"project documents that may be updated as a result of carrying out this process include but are not limited to:  assumption log.   during the plan risk responses process, new assumptions may be made, new constraints may be identified, and existing assumptions or constraints may be revisited and changed. the assumption log should be updated with this new information.  cost forecasts.   cost forecasts may change as a result of planned risk responses.  lessons learned register.   the lessons learned register is updated with information about risk responses that may be useful for future phases of the project or future projects.  project schedule.   activities relating to agreed-upon risk responses may be added to the project schedule.  project team assignments.   once the responses are confirmed, the necessary resources should be allocated to each action associated with a risk response plan. these resources include suitably qualified and experienced personnel to execute the agreed-upon action (usually within the project team) a specific budget and time allowance for the action, and any required technical resources to complete the action.  risk register.   the risk register is updated when appropriate risk responses are chosen and agreed upon. updates to the risk register may include but are not limited to:  agreed-upon response strategies;  specific actions to implement the chosen response strategy;  trigger conditions, symptoms, and warning signs of a risk occurrence;  budget and schedule activities required to implement the chosen responses;  contingency plans and risk triggers that call for their execution;  fallback plans for use when a risk that has occurred and the primary response proves to be inadequate;  residual risks that are expected to remain after planned responses have been taken, as well as those that have been deliberately accepted; and  secondary risks that arise as a direct outcome of implementing a risk response.  risk report.   the risk report may be updated to present agreed-upon responses to the current overall project risk exposure and high-priority risks, together with the expected changes that may be expected as a result of implementing these responses.tion.",[],"['section 4.1.3.2.', 'section 7.4.3.2.', 'section 4.4.3.1.', 'section 6.5.3.2.', 'section 9.3.3.2.', 'section 11.2.3.1.', 'section 11.2.3.2.']","

Project documents updates refer to updates in project documents that may include but are not limited to: assumption log, cost forecasts, lessons learned register, project schedule, project team assignments, risk register, and risk report.","['risk', 'risk responses', 'responses', 'project', 'assumption log', 'response', 'updated', 'risk register', 'register', 'risk responses process']",,
11.6,implement risk responses,"implement risk responses is the process of implementing agreed-upon risk response plans. the key benefit of this process is that it ensures that agreed-upon risk responses are executed as planned in order to address overall project risk exposure, minimize individual project threats, and maximize individual project opportunities. this process is performed throughout the project. the inputs, tools and techniques, and outputs of the process  in .  depicts the data flow diagram for the process.notnot for distribution, sale or reproduction. proper attention to the implement risk responses process will ensure that agreed-upon risk responses are actually executed. a common problem with project risk management is that project teams spend effort in identifying and analyzing risks and developing risk responses, then risk responses are agreed upon and documented in the risk register and risk report, but no action is taken to manage the risk. only if risk owners give the required level of effort to implementing the agreed-upon responses will the overall risk exposure of the project and individual threats and opportunities be managed proactively.",['https://i.ibb.co/CBr1pTH/figure-11-18.png'],"['figure 11-18', 'figure 11-19']","Implement risk responses is the process of implementing agreed-upon risk response plans. The key benefit of this process is that it ensures that agreed-upon risk responses are executed as planned to address overall project risk exposure, minimize individual project threats, and maximize individual project opportunities. This process is performed throughout the project. Proper attention to the implement risk responses process will ensure that agreed-upon risk responses are actually executed. A common problem with project risk management is that project teams spend effort in identifying and analyzing risks and developing risk responses. However, risk responses are agreed upon and documented in the risk register and risk report, but no action is taken to manage the risk. Only if risk owners give the required level of effort to implementing the agreed-upon responses will the overall risk exposure of the project and individual threats and opportunities be managed proactively.","['agreed-upon risk response plans', 'risk responses', 'risk', 'agreed-upon risk responses', 'risk response plans', 'implement risk responses process', 'responses', 'implement risk responses', 'agreed-upon risk', 'project']",,
